user_id,payment_date,amount,payment_status
user_014,2024-12-12,13.99,success
user_029,2024-07-19,17.99,cancelled
user_018,2024-06-19,8.99,success
user_039,2024-07-13,8.99,success
user_037,2024-06-11,17.99,success
user_005,2024-08-04,8.99,failed
user_033,2024-05-19,13.99,success
user_019,2024-10-24,17.99,success
user_034,2024-06-12,8.99,success
user_008,2024-03-27,13.99,success
user_028,2024-03-13,8.99,success
user_005,2024-04-22,13.99,success
user_024,2024-03-26,13.99,failed
user_008,2024-01-12,17.99,success
user_001,2024-12-07,8.99,success
user_030,2024-10-23,13.99,success
user_015,2024-08-31,13.99,success
user_019,2024-10-04,17.99,success
user_014,2024-02-18,13.99,success
user_046,2024-10-23,17.99,success
user_005,2024-10-18,13.99,failed
user_044,2024-07-10,13.99,success
user_013,2024-04-02,13.99,success
user_032,2024-01-10,13.99,success
user_008,2024-02-15,8.99,success
user_039,2024-06-18,13.99,success
user_016,2024-09-28,13.99,success
user_002,2024-11-22,17.99,success
user_001,2024-08-08,8.99,success
user_026,2024-01-19,17.99,success
user_003,2024-06-20,8.99,success
user_005,2024-08-02,13.99,success
user_047,2024-05-09,13.99,success
user_049,2024-06-12,8.99,success
user_036,2024-06-15,17.99,success
user_004,2024-07-09,17.99,success
user_030,2024-08-26,17.99,pending
user_008,2024-06-19,8.99,success
user_002,2024-04-02,8.99,success
user_009,2024-02-11,17.99,success
user_047,2024-07-07,8.99,success
user_006,2024-04-24,13.99,success
user_035,2024-01-24,8.99,success
user_017,2024-01-05,8.99,success
user_020,2024-02-09,13.99,pending
user_045,2024-10-23,13.99,failed
user_018,2024-12-02,8.99,success
user_038,2024-08-02,8.99,failed
user_021,2024-03-26,17.99,failed
user_027,2024-11-11,17.99,success
user_008,2024-09-14,8.99,failed
user_037,2024-08-20,13.99,success
user_018,2024-06-24,17.99,failed
user_031,2024-04-03,13.99,failed
user_050,2024-05-23,8.99,success
user_023,2024-09-24,8.99,success
user_043,2024-11-20,8.99,success
user_045,2024-02-03,13.99,success
user_004,2024-04-01,17.99,failed
user_014,2024-08-25,13.99,failed
user_013,2024-08-02,13.99,success
user_014,2024-10-22,17.99,success
user_033,2024-06-24,13.99,success
user_046,2024-08-19,8.99,success
user_033,2024-02-05,8.99,success
user_024,2024-07-14,17.99,success
user_033,2024-04-25,13.99,pending
user_013,2024-02-09,13.99,success
user_011,2024-11-06,17.99,success
user_042,2024-02-05,13.99,success
user_007,2024-11-30,8.99,success
user_002,2024-08-04,13.99,cancelled
user_002,2024-08-20,17.99,cancelled
user_029,2024-06-08,8.99,success
user_036,2024-02-12,13.99,success
user_014,2024-03-14,17.99,success
user_028,2024-09-08,8.99,success
user_029,2024-05-12,8.99,success
user_004,2024-11-09,17.99,success
user_028,2024-04-10,8.99,success
user_026,2024-03-21,13.99,success
user_034,2024-10-13,17.99,success
user_028,2024-02-22,8.99,pending
user_042,2024-04-04,8.99,success
user_008,2024-01-03,17.99,success
user_018,2024-04-03,17.99,success
user_007,2024-05-08,17.99,cancelled
user_045,2024-12-09,13.99,success
user_026,2024-02-08,17.99,success
user_045,2024-05-16,8.99,success
user_011,2024-04-12,17.99,success
user_019,2024-12-16,13.99,success
user_047,2024-01-05,8.99,success
user_033,2024-12-16,13.99,success
user_048,2024-05-28,17.99,success
user_016,2024-03-12,17.99,success
user_005,2024-03-07,13.99,success
user_030,2024-03-02,17.99,failed
user_031,2024-07-10,8.99,success
user_012,2024-05-03,8.99,success
user_044,2024-01-21,13.99,success
user_031,2024-09-28,13.99,success
user_016,2024-08-02,8.99,success
user_002,2024-10-19,13.99,success
user_015,2024-09-14,8.99,success
user_049,2024-03-26,8.99,success
user_007,2024-05-26,17.99,success
user_022,2024-08-14,17.99,success
user_023,2024-09-06,17.99,success
user_032,2024-05-12,13.99,success
user_001,2024-06-09,17.99,pending
user_022,2024-09-22,17.99,success
user_039,2024-08-02,13.99,success
user_044,2024-09-21,17.99,success
user_002,2024-03-15,8.99,pending
user_043,2024-03-13,13.99,failed
user_002,2024-04-19,17.99,success
user_045,2024-07-11,8.99,success
user_048,2024-02-07,13.99,failed
user_041,2024-02-09,17.99,success
user_044,2024-09-12,17.99,success
user_012,2024-05-22,13.99,success
user_022,2024-07-18,13.99,success
user_018,2024-05-07,8.99,failed
user_038,2024-09-20,13.99,pending
user_040,2024-02-14,13.99,success
user_037,2024-06-09,8.99,success
user_001,2024-08-20,8.99,success
user_030,2024-11-01,17.99,success
user_019,2024-10-15,17.99,failed
user_011,2024-05-16,13.99,failed
user_005,2024-05-01,13.99,success
user_003,2024-04-10,17.99,success
user_008,2024-01-17,13.99,success
user_001,2024-07-11,17.99,success
user_001,2024-01-10,8.99,failed
user_023,2024-05-26,17.99,success
user_043,2024-09-02,8.99,success
user_046,2024-05-05,17.99,success
user_013,2024-07-18,8.99,success
user_019,2024-04-02,13.99,success
user_023,2024-04-26,17.99,success
user_041,2024-07-13,13.99,success
user_007,2024-05-10,17.99,success
user_020,2024-03-20,13.99,success
user_044,2024-06-25,17.99,success
user_009,2024-11-21,8.99,success
user_017,2024-03-15,17.99,success
user_013,2024-05-10,8.99,success
user_020,2024-10-18,13.99,success
user_035,2024-03-14,13.99,success
user_007,2024-03-18,13.99,failed
user_045,2024-06-16,17.99,success
user_046,2024-06-14,13.99,success
user_028,2024-08-12,13.99,success
user_030,2024-01-19,8.99,success
user_050,2024-07-02,8.99,success
user_040,2024-05-26,8.99,success
user_038,2024-09-09,8.99,cancelled
user_040,2024-09-16,13.99,success
user_004,2024-07-04,13.99,failed
user_043,2024-01-16,17.99,success
user_030,2024-01-04,8.99,success
user_018,2024-10-31,13.99,success
user_039,2024-02-27,13.99,success
user_037,2024-08-21,13.99,success
user_004,2024-02-24,17.99,success
user_044,2024-09-21,17.99,success
user_004,2024-12-03,17.99,success
user_010,2024-09-21,13.99,success
user_009,2024-04-22,17.99,success
user_010,2024-05-21,13.99,success
user_047,2024-01-27,13.99,pending
user_040,2024-12-03,8.99,cancelled
user_005,2024-01-06,17.99,pending
user_008,2024-09-01,8.99,success
user_014,2024-02-16,8.99,success
user_033,2024-08-11,8.99,pending
user_008,2024-05-13,13.99,success
user_012,2024-04-27,17.99,cancelled
user_017,2024-10-19,13.99,cancelled
user_043,2024-10-01,13.99,failed
user_010,2024-10-28,8.99,success
user_010,2024-12-18,8.99,success
user_011,2024-09-21,17.99,failed
user_035,2024-04-16,13.99,success
user_019,2024-05-22,8.99,success
user_038,2024-08-10,17.99,success
user_018,2024-07-12,17.99,pending
user_007,2024-08-12,13.99,success
user_010,2024-01-11,13.99,success
user_008,2024-10-10,8.99,success
user_038,2024-05-02,17.99,success
user_042,2024-11-16,13.99,cancelled
user_003,2024-06-04,13.99,success
user_047,2024-08-07,8.99,success
user_011,2024-06-16,17.99,failed
user_014,2024-06-22,17.99,success
user_025,2024-08-31,8.99,success
user_042,2024-03-13,17.99,success
user_047,2024-10-08,13.99,success
user_046,2024-03-10,17.99,success
user_020,2024-07-02,17.99,failed
user_031,2024-07-15,17.99,failed
user_043,2024-03-20,17.99,failed
user_033,2024-11-13,13.99,pending
user_009,2024-12-07,17.99,success
user_038,2024-06-18,17.99,success
user_026,2024-02-02,8.99,success
user_047,2024-03-09,8.99,success
user_043,2024-02-16,17.99,success
user_031,2024-06-24,8.99,success
user_050,2024-12-22,8.99,failed
user_007,2024-03-25,13.99,success
user_049,2024-07-02,8.99,success
user_040,2024-05-04,8.99,success
user_048,2024-02-15,13.99,success
user_039,2024-11-23,8.99,success
user_012,2024-06-03,17.99,success
user_029,2024-07-04,17.99,success
user_037,2024-09-04,8.99,success
user_017,2024-08-13,17.99,success
user_019,2024-04-07,17.99,success
user_011,2024-07-26,17.99,success
user_013,2024-02-19,8.99,failed
user_041,2024-10-31,8.99,success
user_003,2024-03-02,13.99,success
user_050,2024-07-18,17.99,success
user_005,2024-06-05,17.99,success
user_047,2024-12-17,17.99,success
user_032,2024-04-27,8.99,success
user_037,2024-08-15,13.99,success
