lift_name,wait_minutes
Alpine Quad,6.38
Alpine Quad,6.52
Alpine Quad,4.98
Alpine Quad,6.35
Alpine Quad,6.44
Alpine Quad,4.93
Alpine Quad,8.8
Alpine Quad,6.71
Alpine Quad,4.21
Alpine Quad,6.98
Alpine Quad,4.54
Alpine Quad,7.18
Alpine Quad,7.74
Alpine Quad,4.77
Alpine Quad,7.45
Alpine Quad,6.62
Alpine Quad,7.23
Alpine Quad,8.85
Alpine Quad,5.63
Alpine Quad,4.87
Alpine Quad,4.67
Alpine Quad,4.78
Alpine Quad,5.88
Alpine Quad,6.51
Alpine Quad,6.42
Alpine Quad,7.24
Alpine Quad,6.02
Alpine Quad,8.18
Alpine Quad,5.6
Alpine Quad,10.08
Alpine Quad,6.94
Alpine Quad,4.71
Alpine Quad,4.39
Alpine Quad,6.72
Alpine Quad,5.66
Alpine Quad,7.07
Alpine Quad,6.71
Alpine Quad,5.89
Alpine Quad,4.73
Alpine Quad,3.73
Alpine Quad,5.33
Alpine Quad,7.28
Alpine Quad,6.32
Alpine Quad,4.13
Alpine Quad,6.26
Alpine Quad,6.58
Alpine Quad,4.67
Alpine Quad,6.23
Alpine Quad,6.09
Alpine Quad,4.29
Glacier Lift,5.64
Glacier Lift,6.01
Glacier Lift,6.95
Glacier Lift,6.9
Glacier Lift,2.52
Glacier Lift,3.31
Glacier Lift,5.93
Glacier Lift,5.92
Glacier Lift,5.93
Glacier Lift,11.93
Glacier Lift,6.03
Glacier Lift,7.04
Glacier Lift,6.72
Glacier Lift,6.17
Glacier Lift,4.43
Glacier Lift,6.37
Glacier Lift,3.61
Glacier Lift,4.57
Glacier Lift,4.13
Glacier Lift,5.15
Glacier Lift,9.17
Glacier Lift,1.64
Glacier Lift,6.24
Glacier Lift,2.1
Glacier Lift,4.15
Glacier Lift,6.96
Glacier Lift,5.12
Glacier Lift,3.06
Glacier Lift,3.71
Glacier Lift,6.22
Glacier Lift,3.69
Glacier Lift,5.39
Glacier Lift,5.08
Glacier Lift,3.83
Glacier Lift,8.86
Glacier Lift,6.14
Glacier Lift,1.35
Glacier Lift,5.34
Glacier Lift,3.81
Glacier Lift,6.53
Glacier Lift,3.57
Glacier Lift,4.79
Glacier Lift,5.91
Glacier Lift,6.56
Glacier Lift,2.84
Glacier Lift,4.4
Glacier Lift,4.15
Glacier Lift,3.82
Glacier Lift,8.18
Glacier Lift,5.73
Glacier Lift,2.73
Glacier Lift,6.65
Glacier Lift,8.82
Glacier Lift,6.86
Glacier Lift,2.27
Glacier Lift,4.13
Glacier Lift,7.28
Glacier Lift,3.73
Glacier Lift,5.8
Glacier Lift,6.39
Glacier Lift,3.33
Glacier Lift,4.89
Glacier Lift,-0.83
Glacier Lift,3.16
Glacier Lift,4.55
Glacier Lift,2.75
Glacier Lift,7.94
Glacier Lift,2.43
Glacier Lift,4.21
Glacier Lift,5.24
Glacier Lift,7.59
Glacier Lift,2.42
Glacier Lift,7.09
Glacier Lift,5.02
Glacier Lift,3.23
Glacier Lift,5.83
Glacier Lift,5.36
Glacier Lift,3.92
Glacier Lift,5.13
Glacier Lift,4.31
Glacier Lift,5.2
Glacier Lift,6.19
Glacier Lift,7.85
Glacier Lift,2.77
Glacier Lift,8.84
Glacier Lift,1.49
Glacier Lift,4.73
Glacier Lift,6.06
Glacier Lift,5.51
Glacier Lift,3.88
Glacier Lift,4.63
Glacier Lift,4.11
Glacier Lift,3.94
Glacier Lift,6.53
Glacier Lift,5.64
Glacier Lift,3.75
Glacier Lift,6.62
Glacier Lift,5.55
Glacier Lift,6.46
Glacier Lift,6.13
Beginner Tow,2.17
Beginner Tow,2.44
Beginner Tow,3.75
Beginner Tow,3.61
Beginner Tow,2.98
Beginner Tow,3.12
Beginner Tow,4.28
Beginner Tow,2.41
Beginner Tow,3.55
Beginner Tow,2.8
Beginner Tow,2.78
Beginner Tow,4.1
Beginner Tow,3.83
Beginner Tow,3.81
Beginner Tow,4.31
Beginner Tow,3.02
Beginner Tow,3.68
Beginner Tow,2.69
Beginner Tow,3.32
Beginner Tow,2.87
Beginner Tow,3.1
Beginner Tow,3.6
Beginner Tow,2.18
Beginner Tow,5.09
Beginner Tow,1.99
Beginner Tow,1.79
Beginner Tow,4.16
Beginner Tow,3.79
Beginner Tow,3.62
Beginner Tow,3.63
Beginner Tow,2.99
Beginner Tow,2.1
Beginner Tow,3.08
Beginner Tow,2.32
Beginner Tow,3.98
Beginner Tow,2.85
Beginner Tow,2.17
Beginner Tow,2.68
Beginner Tow,3.41
Beginner Tow,2.44
Beginner Tow,2.18
Beginner Tow,3.24
Beginner Tow,3.24
Beginner Tow,2.49
Beginner Tow,2.53
Beginner Tow,3.23
Beginner Tow,1.55
Beginner Tow,1.59
Beginner Tow,2.28
Beginner Tow,2.79
Beginner Tow,3.31
Beginner Tow,4.48
Beginner Tow,3.86
Beginner Tow,2.84
Beginner Tow,2.98
Beginner Tow,2.0
Beginner Tow,2.98
Beginner Tow,2.71
Beginner Tow,3.32
Beginner Tow,2.17
Beginner Tow,3.52
Beginner Tow,4.53
Beginner Tow,2.89
Beginner Tow,3.4
Beginner Tow,3.69
Beginner Tow,2.6
Beginner Tow,3.22
Beginner Tow,3.01
Beginner Tow,3.1
Beginner Tow,2.23
Beginner Tow,3.02
Beginner Tow,3.5
Beginner Tow,4.45
Beginner Tow,3.96
Beginner Tow,5.15
Beginner Tow,2.23
Beginner Tow,3.87
Beginner Tow,3.18
Beginner Tow,5.19
Beginner Tow,2.19
Beginner Tow,2.16
Beginner Tow,2.4
Beginner Tow,0.88
Beginner Tow,2.47
Beginner Tow,2.24
Beginner Tow,3.15
Beginner Tow,3.34
Beginner Tow,4.88
Beginner Tow,3.95
Beginner Tow,2.42
Beginner Tow,2.1
Beginner Tow,3.49
Beginner Tow,1.68
Beginner Tow,4.83
Beginner Tow,4.18
Beginner Tow,2.53
Beginner Tow,1.29
Beginner Tow,4.35
Beginner Tow,2.89
Beginner Tow,4.24
Valley Chair,3.49
Valley Chair,5.68
Valley Chair,7.01
Valley Chair,7.1
Valley Chair,6.01
Valley Chair,8.37
Valley Chair,4.65
Valley Chair,6.69
Valley Chair,7.26
Valley Chair,8.13
Valley Chair,8.57
Valley Chair,4.53
Valley Chair,3.62
Valley Chair,9.81
Valley Chair,7.73
Valley Chair,5.35
Valley Chair,10.41
Valley Chair,7.25
Valley Chair,9.59
Valley Chair,7.15
Valley Chair,11.53
Valley Chair,10.86
Valley Chair,6.45
Valley Chair,9.14
Valley Chair,8.42
Valley Chair,10.01
Valley Chair,4.88
Valley Chair,8.51
Valley Chair,9.33
Valley Chair,3.13
Valley Chair,4.4
Valley Chair,2.51
Valley Chair,6.41
Valley Chair,8.58
Valley Chair,10.31
Valley Chair,7.16
Valley Chair,10.58
Valley Chair,3.96
Valley Chair,3.25
Valley Chair,6.88
Valley Chair,7.84
Valley Chair,6.93
Valley Chair,2.45
Valley Chair,6.8
Valley Chair,4.13
Valley Chair,8.47
Valley Chair,7.81
Valley Chair,4.93
Valley Chair,5.87
Valley Chair,4.67
Valley Chair,6.86
Valley Chair,9.1
Valley Chair,4.83
Valley Chair,8.11
Valley Chair,5.83
Valley Chair,5.26
Valley Chair,6.76
Valley Chair,4.72
Valley Chair,5.78
Valley Chair,4.36
Valley Chair,11.32
Valley Chair,7.08
Valley Chair,5.46
Valley Chair,7.47
Valley Chair,6.75
Valley Chair,6.51
Valley Chair,8.35
Valley Chair,8.67
Valley Chair,5.83
Valley Chair,5.73
Valley Chair,6.39
Valley Chair,1.94
Valley Chair,3.67
Valley Chair,10.01
Valley Chair,10.62
Valley Chair,6.45
Valley Chair,8.27
Valley Chair,7.68
Valley Chair,13.77
Valley Chair,9.46
Valley Chair,6.72
Valley Chair,4.9
Valley Chair,3.47
Valley Chair,7.45
Valley Chair,5.34
Valley Chair,3.87
Valley Chair,5.58
Valley Chair,4.62
Valley Chair,10.71
Valley Chair,8.94
Valley Chair,6.98
Valley Chair,10.26
Valley Chair,7.17
Valley Chair,5.11
Valley Chair,10.35
Valley Chair,8.19
Valley Chair,4.72
Valley Chair,6.58
Valley Chair,5.07
Valley Chair,3.96
