post_id,user_id,account_type,post_date,likes,comments,shares,content_type
242,198,personal,2023-09-15,22,9,2,photo
243,139,personal,2023-09-26,13,9,5,photo
244,144,personal,2023-06-30,26,10,4,photo
245,97,personal,2023-06-09,28,5,5,video
246,124,personal,2023-12-17,38,7,4,video
247,187,business,2023-10-15,48,7,3,photo
248,70,business,2023-10-15,10,10,4,carousel
249,93,personal,2023-08-14,16,8,5,photo
250,3,business,2023-01-11,50,7,1,video
251,148,personal,2023-01-10,29,10,5,video
252,187,business,2023-09-28,22,1,1,video
253,164,creator,2023-09-30,20,14,1,photo
254,147,personal,2023-07-02,18,10,2,photo
255,90,personal,2023-06-02,18,0,4,photo
256,195,business,2023-11-11,34,9,3,photo
257,147,personal,2023-11-30,21,1,5,photo
258,148,personal,2023-05-04,30,1,4,photo
259,96,business,2023-04-24,26,2,4,photo
260,199,personal,2023-10-05,22,9,4,photo
261,52,business,2023-08-01,41,6,0,video
262,161,personal,2023-06-21,9,1,1,video
263,168,business,2023-10-15,19,0,4,carousel
264,128,personal,2023-06-23,35,5,4,photo
265,39,creator,2023-04-23,7,13,3,video
266,82,business,2023-05-02,29,2,1,video
267,104,personal,2023-02-01,31,5,3,photo
268,129,personal,2023-08-10,13,2,5,photo
269,11,creator,2023-04-29,27,5,2,carousel
270,185,personal,2023-02-08,23,4,3,photo
271,178,personal,2023-09-25,14,9,5,photo
272,151,personal,2023-08-21,21,10,4,photo
273,159,personal,2023-01-18,29,3,5,photo
274,42,business,2023-05-29,13,6,2,video
275,99,personal,2023-05-29,12,5,4,video
276,7,personal,2023-05-06,22,9,1,photo
277,144,personal,2023-10-29,7,6,5,photo
278,90,personal,2023-12-26,17,4,5,photo
279,112,personal,2023-08-26,11,3,4,photo
280,60,personal,2023-05-15,30,6,1,photo
281,113,creator,2023-05-31,13,11,0,video
282,2,personal,2023-08-24,33,5,4,photo
283,129,personal,2023-08-12,17,7,2,photo
284,48,business,2023-07-22,43,3,4,video
285,140,personal,2023-09-13,10,9,5,photo
286,197,business,2023-03-27,50,4,2,video
287,37,personal,2023-05-30,11,3,4,video
288,160,personal,2023-08-23,14,0,3,video
289,9,personal,2023-12-11,30,7,3,photo
290,99,personal,2023-01-22,28,0,1,photo
291,147,business,2023-12-14,35,4,4,photo
292,48,personal,2023-10-12,17,5,3,photo
293,131,personal,2023-09-26,31,5,1,video
294,148,personal,2023-09-15,21,4,4,video
295,152,personal,2023-01-29,37,2,3,video
296,54,business,2023-08-01,26,4,4,carousel
297,120,personal,2023-10-10,22,7,3,video
298,161,personal,2023-02-19,23,1,4,photo
299,152,personal,2023-04-05,7,5,3,photo
300,116,personal,2023-03-29,40,8,5,video
301,75,business,2023-02-13,15,7,0,photo
302,113,personal,2023-10-05,4,10,5,photo
303,200,business,2023-06-20,38,7,0,photo
304,164,personal,2023-07-08,27,7,2,video
305,166,personal,2023-12-19,10,6,5,photo
306,104,creator,2023-07-03,0,12,4,video
307,84,personal,2023-01-03,18,5,4,video
308,112,personal,2023-07-10,8,1,3,photo
309,99,business,2023-04-28,36,1,0,photo
310,153,personal,2023-01-19,33,7,1,photo
311,93,business,2023-01-23,13,10,3,video
312,146,personal,2023-01-30,35,0,4,video
313,128,creator,2023-10-22,17,10,2,video
314,110,business,2023-04-18,24,5,2,photo
315,82,personal,2023-10-08,12,10,5,photo
316,194,creator,2023-05-08,18,8,1,photo
317,54,personal,2023-08-17,5,10,3,video
318,163,creator,2023-04-21,11,15,3,photo
319,189,personal,2023-05-16,36,9,3,photo
320,169,personal,2023-12-28,16,2,1,photo
321,161,personal,2023-07-05,22,10,2,photo
322,68,personal,2023-05-24,25,2,5,photo
323,33,personal,2023-03-13,28,0,1,photo
324,142,business,2023-05-09,42,2,0,photo
325,21,business,2023-12-30,36,3,1,photo
326,48,creator,2023-09-18,24,15,4,video
327,148,personal,2023-01-03,9,10,4,video
328,128,personal,2023-04-14,22,4,5,photo
329,136,personal,2023-08-12,20,2,3,video
330,135,personal,2023-11-16,20,5,1,photo
331,195,personal,2023-12-28,12,10,3,photo
332,145,personal,2023-12-20,36,4,4,video
333,128,business,2023-01-10,42,2,2,video
334,33,personal,2023-10-29,23,5,5,video
335,176,personal,2023-08-19,10,5,3,photo
336,187,personal,2023-08-07,16,7,4,photo
337,115,personal,2023-03-07,3,1,4,video
338,119,personal,2023-04-22,24,0,4,photo
339,22,creator,2023-01-13,29,8,4,photo
340,158,personal,2023-03-27,8,6,4,video
341,38,personal,2023-08-22,20,10,1,video
342,109,personal,2023-03-31,19,9,4,video
343,51,business,2023-11-10,28,2,2,photo
344,182,creator,2023-02-23,18,7,2,video
345,8,business,2023-01-12,21,4,2,photo
346,27,personal,2023-07-28,36,4,5,photo
347,27,personal,2023-01-14,16,9,3,video
348,21,personal,2023-05-01,36,2,5,photo
349,30,creator,2023-01-20,38,13,4,photo
350,97,business,2023-03-16,37,3,3,video
351,28,personal,2023-08-31,40,2,1,photo
352,111,business,2023-08-11,44,10,3,photo
353,192,business,2023-03-11,27,1,3,photo
354,197,personal,2023-11-08,13,9,5,photo
355,61,creator,2023-07-30,34,15,4,photo
356,48,creator,2023-04-11,40,13,2,video
357,147,personal,2023-07-05,6,3,3,video
358,4,personal,2023-05-12,40,2,4,photo
359,35,personal,2023-04-21,12,6,2,video
360,192,personal,2023-05-12,17,7,2,photo
361,49,personal,2023-01-20,36,10,3,photo
362,17,personal,2023-01-24,12,1,2,video
363,172,creator,2023-08-15,35,11,2,photo
364,158,personal,2023-06-03,30,4,5,carousel
365,46,personal,2023-10-20,1,10,4,photo
366,117,personal,2023-08-18,15,4,1,video
367,6,personal,2023-11-06,8,2,4,photo
368,99,business,2023-12-25,18,4,2,photo
369,124,personal,2023-07-21,37,1,3,photo
370,37,personal,2023-02-07,10,3,4,video
371,24,personal,2023-09-17,21,5,3,photo
372,93,business,2023-07-07,42,0,1,carousel
373,46,business,2023-02-26,45,9,1,photo
374,181,personal,2023-01-20,22,3,3,photo
375,95,personal,2023-09-30,33,5,3,photo
376,99,personal,2023-04-29,8,8,2,video
377,188,personal,2023-03-12,23,10,3,video
378,116,personal,2023-01-04,7,10,3,photo
379,191,personal,2023-08-09,6,1,4,video
380,160,personal,2023-01-14,35,10,1,photo
381,161,personal,2023-01-03,17,6,2,video
382,67,business,2023-08-04,12,5,3,video
383,128,personal,2023-08-17,27,1,1,photo
384,18,personal,2023-12-02,5,7,3,photo
385,25,personal,2023-07-05,20,6,3,carousel
386,54,personal,2023-02-24,27,10,4,video
387,58,business,2023-09-11,49,4,2,photo
388,67,personal,2023-01-24,0,4,5,photo
389,104,personal,2023-06-11,35,6,4,photo
390,174,business,2023-06-07,30,8,0,photo
391,24,personal,2023-03-23,34,10,4,video
392,114,personal,2023-06-08,12,8,2,video
393,32,business,2023-07-07,19,8,3,photo
394,175,personal,2023-03-01,9,5,3,photo
395,86,personal,2023-11-01,12,9,3,photo
396,151,creator,2023-11-15,36,10,4,photo
397,194,personal,2023-07-30,37,2,5,photo
398,127,personal,2023-06-01,23,0,5,photo
399,155,personal,2023-04-19,1,6,1,photo
400,130,creator,2023-03-17,21,8,4,photo
401,17,personal,2023-01-30,16,0,1,photo
402,104,personal,2023-11-10,35,7,5,photo
403,161,personal,2023-04-27,13,5,1,photo
404,137,personal,2023-12-22,9,5,4,photo
405,43,personal,2023-07-11,34,1,4,photo
406,176,personal,2023-01-19,24,0,3,photo
407,39,personal,2023-06-22,2,1,1,photo
408,170,personal,2023-08-16,37,3,2,video
409,26,personal,2023-12-16,16,1,3,carousel
410,99,personal,2023-07-02,11,0,4,video
411,50,personal,2023-04-23,23,6,1,photo
412,153,personal,2023-07-02,28,10,5,video
413,152,business,2023-05-26,34,10,1,video
414,13,personal,2023-11-15,35,7,4,photo
415,60,personal,2023-04-26,25,5,3,photo
416,135,personal,2023-04-23,37,3,1,video
417,57,business,2023-09-08,10,5,1,photo
418,36,business,2023-09-08,29,2,0,photo
419,173,personal,2023-10-30,27,7,5,video
420,20,personal,2023-11-09,15,9,3,video
421,65,creator,2023-04-28,16,6,0,photo
422,8,personal,2023-10-28,39,4,4,photo
423,144,personal,2023-06-10,27,0,3,photo
424,142,personal,2023-07-17,11,5,4,video
425,115,personal,2023-09-17,26,1,1,photo
426,143,creator,2023-05-28,29,8,2,photo
427,92,business,2023-08-28,50,5,3,video
428,98,personal,2023-02-16,33,9,5,photo
429,66,personal,2023-07-17,36,10,5,video
430,32,creator,2023-02-16,5,12,0,photo
431,191,business,2023-03-19,16,7,2,photo
432,86,personal,2023-05-04,31,10,2,video
433,51,creator,2023-03-16,31,10,2,photo
434,153,creator,2023-12-25,24,8,4,photo
435,186,business,2023-05-17,42,7,3,photo
436,63,personal,2023-03-31,6,7,2,video
437,190,personal,2023-11-21,11,9,1,carousel
438,125,business,2023-03-02,25,0,1,carousel
439,150,personal,2023-05-18,15,3,1,photo
440,58,business,2023-02-19,45,3,1,photo
441,58,personal,2023-09-16,12,6,1,photo
442,86,personal,2023-04-17,6,10,1,video
443,49,personal,2023-04-23,35,6,2,photo
444,180,personal,2023-12-16,8,10,2,carousel
445,170,creator,2023-09-11,31,12,0,photo
446,70,business,2023-04-28,20,10,4,carousel
447,15,business,2023-07-17,17,4,1,video
448,54,personal,2023-12-03,32,6,3,video
449,188,personal,2023-12-31,22,7,4,photo
450,101,personal,2023-02-20,24,8,1,photo
451,8,personal,2023-09-02,7,2,1,photo
452,53,personal,2023-02-04,21,2,4,photo
453,60,personal,2023-10-29,3,3,5,photo
454,108,personal,2023-03-10,39,4,4,photo
455,5,personal,2023-12-15,2,9,2,photo
456,103,creator,2023-11-16,28,5,3,video
457,196,business,2023-02-18,50,6,0,video
458,6,personal,2023-03-15,28,8,4,photo
459,109,personal,2023-07-11,33,7,3,carousel
460,116,business,2023-09-18,43,4,1,photo
461,94,personal,2023-12-22,27,3,4,photo
462,47,business,2023-03-11,22,6,0,photo
463,99,business,2023-03-31,24,4,1,video
464,55,personal,2023-09-17,22,6,1,photo
465,168,personal,2023-05-06,25,0,5,photo
466,52,personal,2023-08-19,3,0,3,video
467,144,personal,2023-10-22,25,9,5,photo
468,13,personal,2023-05-09,39,2,3,video
469,114,business,2023-10-07,18,10,3,carousel
470,124,personal,2023-11-09,4,1,2,carousel
471,106,personal,2023-04-10,31,1,4,photo
472,158,creator,2023-11-22,19,11,2,photo
473,147,business,2023-10-24,20,9,2,photo
474,145,personal,2023-07-01,14,1,3,photo
475,120,personal,2023-06-23,31,10,1,photo
476,63,personal,2023-11-12,27,3,2,photo
477,19,personal,2023-12-30,21,1,4,carousel
478,92,personal,2023-07-07,40,5,4,carousel
479,58,personal,2023-02-26,16,7,5,photo
480,183,creator,2023-01-31,25,14,2,photo
481,90,personal,2023-03-25,6,3,3,photo
482,117,business,2023-06-01,35,4,2,photo
483,62,creator,2023-02-05,24,8,3,video
484,23,personal,2023-08-01,9,2,5,video
485,127,business,2023-12-30,28,4,0,video
486,137,personal,2023-04-16,10,8,2,video
487,140,creator,2023-12-08,12,12,0,photo
488,129,personal,2023-08-08,7,7,4,video
489,58,personal,2023-06-12,39,7,3,photo
490,122,personal,2023-08-08,3,7,2,photo
491,1,business,2023-09-27,40,6,3,photo
492,34,business,2023-04-30,37,7,3,photo
493,96,personal,2023-12-02,10,10,4,photo
494,126,business,2023-07-01,10,7,1,photo
495,118,personal,2023-04-16,37,7,2,carousel
496,48,personal,2023-08-05,23,9,5,photo
497,89,personal,2023-07-24,30,6,5,photo
498,117,personal,2023-03-11,40,0,1,photo
499,129,personal,2023-02-13,25,3,2,video
500,16,creator,2023-11-25,4,8,1,photo
501,189,personal,2023-10-28,19,4,2,carousel
502,192,personal,2023-08-16,40,9,5,video
503,191,personal,2023-07-03,10,5,4,photo
504,69,business,2023-04-17,42,3,2,video
505,22,creator,2023-03-25,37,6,4,photo
506,93,personal,2023-12-04,26,5,2,photo
507,195,business,2023-09-07,43,7,4,video
508,76,personal,2023-12-29,14,7,1,photo
509,154,business,2023-01-21,41,6,1,photo
510,144,personal,2023-07-15,20,5,1,photo
511,179,creator,2023-06-27,4,6,1,photo
512,86,personal,2023-01-07,5,6,5,carousel
513,185,personal,2023-03-11,37,10,4,photo
514,29,business,2023-05-07,31,4,2,video
515,69,personal,2023-06-09,17,5,1,photo
516,47,personal,2023-09-05,13,9,5,video
517,94,personal,2023-07-22,9,7,4,photo
518,190,personal,2023-05-28,12,7,5,photo
519,197,personal,2023-05-23,30,2,1,video
520,144,personal,2023-07-18,29,6,3,photo
521,176,personal,2023-06-03,2,0,5,photo
522,85,personal,2023-05-22,29,0,2,photo
523,39,business,2023-11-09,15,6,3,video
524,100,personal,2023-06-14,28,9,5,photo
525,33,personal,2023-11-10,7,8,4,carousel
526,101,personal,2023-01-21,32,6,2,photo
527,23,personal,2023-03-23,16,9,3,photo
528,10,business,2023-03-10,20,4,2,video
529,69,personal,2023-05-11,12,7,2,video
530,100,personal,2023-03-28,10,1,4,video
531,34,business,2023-08-06,40,8,4,carousel
532,180,business,2023-11-01,37,5,1,photo
533,138,personal,2023-12-11,5,8,1,photo
534,147,business,2023-12-07,50,1,3,photo
535,186,creator,2023-06-10,15,7,2,video
536,96,personal,2023-06-27,3,7,2,video
537,1,business,2023-04-27,44,0,2,photo
538,69,business,2023-07-15,35,9,3,photo
539,4,personal,2023-11-23,11,6,3,photo
540,16,personal,2023-03-27,10,6,2,video
541,24,personal,2023-10-16,36,0,4,photo
542,80,business,2023-03-22,34,8,0,photo
543,2,creator,2023-06-01,17,12,1,photo
544,128,personal,2023-03-02,18,3,5,video
545,160,personal,2023-03-02,22,9,2,video
546,84,personal,2023-12-20,37,10,4,video
547,152,personal,2023-01-28,17,4,2,photo
548,140,personal,2023-02-12,25,1,1,photo
549,178,personal,2023-06-18,5,8,1,video
550,163,business,2023-03-27,13,5,4,carousel
551,124,personal,2023-06-26,28,2,3,photo
552,33,business,2023-01-17,43,6,3,photo
553,161,personal,2023-04-08,16,8,4,photo
554,189,personal,2023-07-17,15,2,3,photo
555,179,personal,2023-04-08,1,1,1,video
556,171,personal,2023-03-06,33,6,1,photo
557,101,creator,2023-11-26,7,11,1,photo
558,12,personal,2023-12-07,12,3,5,photo
559,67,business,2023-01-05,17,10,4,photo
560,65,personal,2023-01-02,29,8,5,photo
561,161,business,2023-01-22,41,7,1,photo
562,168,personal,2023-04-22,35,0,5,photo
563,74,business,2023-02-26,39,0,2,video
564,43,business,2023-03-07,10,4,1,photo
565,44,personal,2023-11-26,38,5,3,photo
566,29,personal,2023-04-08,16,2,2,carousel
567,141,business,2023-05-24,29,8,4,video
568,12,creator,2023-05-05,23,14,2,video
569,95,personal,2023-06-16,21,5,3,photo
570,46,business,2023-03-27,38,3,2,photo
571,130,creator,2023-03-17,21,11,1,photo
572,35,business,2023-12-10,18,7,3,photo
573,81,creator,2023-10-21,36,13,4,photo
574,90,business,2023-02-28,19,10,2,carousel
575,8,personal,2023-05-18,35,5,4,photo
576,93,personal,2023-04-09,36,5,5,photo
577,154,personal,2023-07-11,27,7,5,photo
578,90,business,2023-08-31,37,4,2,photo
579,162,business,2023-11-15,30,2,2,video
580,115,personal,2023-02-18,23,2,2,photo
581,105,business,2023-02-01,49,5,3,video
582,135,business,2023-10-04,11,1,3,carousel
583,196,personal,2023-01-20,7,5,3,photo
584,58,personal,2023-06-03,26,5,5,photo
585,114,personal,2023-03-09,21,7,3,carousel
586,75,personal,2023-08-02,36,6,5,video
587,157,personal,2023-05-23,26,7,5,photo
588,120,personal,2023-08-20,28,8,3,carousel
589,164,personal,2023-08-01,2,5,1,photo
590,21,personal,2023-03-20,12,2,4,carousel
591,164,personal,2023-08-02,9,9,5,photo
592,138,personal,2023-04-26,35,2,5,photo
593,101,business,2023-04-02,18,10,0,video
594,152,personal,2023-09-27,26,0,2,photo
595,192,creator,2023-06-17,33,15,0,photo
596,177,creator,2023-02-27,0,9,0,photo
597,99,personal,2023-10-11,31,3,5,carousel
598,36,personal,2023-01-26,24,8,4,video
599,96,personal,2023-03-07,28,8,1,video
600,152,personal,2023-09-05,6,4,2,photo
601,151,personal,2023-09-11,2,9,3,video
602,190,personal,2023-02-13,19,3,1,photo
603,37,personal,2023-04-07,19,6,1,photo
604,12,personal,2023-02-11,29,5,2,video
605,113,personal,2023-08-15,34,3,4,photo
606,183,personal,2023-09-19,34,9,1,photo
607,13,personal,2023-06-16,38,1,1,photo
608,23,personal,2023-10-06,26,0,4,photo
609,99,personal,2023-03-30,25,3,2,video
610,105,creator,2023-06-27,13,8,0,photo
611,30,personal,2023-07-16,16,0,4,video
612,17,personal,2023-11-03,17,5,1,photo
613,113,personal,2023-09-24,28,3,3,photo
614,62,personal,2023-09-25,19,0,5,photo
615,84,creator,2023-03-15,26,5,2,video
616,112,business,2023-01-08,27,0,0,video
617,86,personal,2023-10-24,3,7,2,carousel
618,141,business,2023-06-13,10,9,4,video
