customer_id,age,gender,account_type,country,is_active,signup_date
52,73,Female,basic,Spain,True,2022-11-19
53,42,Female,basic,France,True,2025-06-07
54,24,Female,business,Italy,True,2025-09-29
55,37,Female,basic,France,True,2023-07-10
56,72,Female,basic,Netherlands,True,2025-08-08
57,71,Female,premium,France,True,2025-06-24
58,76,Female,premium,Germany,True,2022-08-07
59,77,Female,premium,Germany,True,2023-06-18
60,52,Female,premium,Spain,True,2023-10-04
61,27,Female,basic,Italy,True,2023-06-03
62,52,Female,premium,Italy,True,2022-02-13
63,18,Female,basic,Germany,True,2022-03-06
64,31,Female,premium,Netherlands,True,2022-09-03
65,62,Female,business,France,True,2024-09-13
66,22,Female,premium,France,False,2024-12-30
67,57,Female,premium,France,True,2022-06-07
68,61,Female,basic,Netherlands,True,2024-07-26
69,55,Female,basic,Netherlands,True,2024-11-14
70,73,Female,business,France,False,2024-04-04
71,72,Female,basic,France,True,2025-05-31
72,51,Female,basic,Netherlands,True,2022-06-09
73,41,Female,premium,France,True,2024-03-28
74,21,Female,basic,Netherlands,True,2024-10-01
75,44,Female,premium,Spain,True,2022-03-16
76,22,Female,premium,Germany,True,2022-05-18
77,60,Female,basic,Germany,True,2023-04-24
78,30,Female,basic,Netherlands,True,2023-07-07
79,57,Female,basic,France,True,2025-08-19
80,38,Female,premium,Germany,True,2023-01-22
81,54,Female,basic,Italy,True,2023-04-17
82,49,Female,basic,France,True,2025-09-19
83,55,Female,premium,Netherlands,True,2022-11-05
84,48,Female,basic,Italy,True,2024-06-05
85,49,Female,basic,Netherlands,True,2023-12-02
86,32,Female,premium,France,False,2025-04-01
87,72,Female,business,Spain,True,2024-09-26
88,74,Female,basic,Spain,True,2024-08-09
89,65,Female,basic,Spain,True,2024-12-14
90,47,Female,basic,France,False,2024-02-25
91,60,Female,premium,France,True,2022-11-01
92,24,Female,basic,Italy,True,2022-04-12
93,55,Female,business,France,True,2024-02-14
94,48,Female,basic,France,True,2025-05-16
95,61,Female,basic,Italy,False,2025-08-31
96,43,Female,basic,Italy,False,2024-12-08
97,53,Female,premium,Netherlands,True,2023-07-26
98,63,Female,basic,Germany,True,2022-05-28
99,60,Female,basic,Germany,True,2025-05-19
100,43,Female,basic,Netherlands,True,2023-08-20
101,61,Female,premium,Spain,True,2024-09-04
102,19,Female,basic,France,False,2024-12-06
103,60,Female,premium,Italy,True,2023-05-14
104,62,Female,basic,Italy,True,2022-06-04
105,60,Female,business,Spain,True,2022-08-18
106,80,Female,premium,Italy,False,2025-08-16
107,26,Female,basic,Spain,True,2022-06-07
108,75,Female,business,Netherlands,True,2024-07-11
109,76,Female,basic,Spain,True,2025-06-24
110,70,Female,premium,Germany,True,2023-07-22
111,65,Female,basic,Spain,True,2025-03-20
112,22,Female,basic,Netherlands,False,2022-10-26
113,44,Female,basic,Spain,True,2024-12-13
114,29,Female,basic,Netherlands,True,2025-05-31
115,52,Female,basic,Germany,True,2024-02-05
116,46,Female,premium,France,True,2023-07-19
117,33,Female,basic,Netherlands,True,2023-04-12
118,36,Female,premium,France,True,2023-05-01
119,66,Female,premium,Netherlands,False,2023-03-20
120,77,Female,premium,Spain,True,2024-06-23
121,60,Female,premium,France,True,2024-05-12
122,70,Female,basic,Netherlands,True,2025-03-07
123,68,Female,basic,Netherlands,True,2024-07-14
124,80,Female,basic,France,True,2022-10-19
125,44,Female,business,Netherlands,True,2025-05-18
126,35,Female,basic,France,True,2024-01-22
127,76,Female,premium,Germany,True,2025-05-19
128,58,Female,premium,Italy,False,2024-05-24
129,30,Female,business,Germany,False,2023-10-25
130,47,Female,basic,France,True,2025-02-21
131,43,Female,basic,Spain,True,2024-07-08
132,23,Female,premium,Spain,True,2024-06-27
133,20,Female,premium,Italy,False,2022-05-04
134,40,Female,premium,France,True,2022-03-09
135,29,Female,premium,Netherlands,True,2023-04-20
136,58,Female,premium,Germany,True,2022-12-24
137,58,Female,basic,Germany,True,2023-06-05
138,32,Female,premium,Italy,True,2024-04-12
139,18,Female,premium,Italy,True,2023-09-16
140,80,Female,basic,Italy,True,2025-09-13
141,67,Female,basic,Italy,True,2025-09-15
142,64,Female,premium,Italy,True,2023-03-03
143,25,Female,premium,Italy,True,2024-10-05
144,48,Female,basic,Netherlands,True,2023-03-19
145,28,Female,basic,Netherlands,True,2023-08-24
146,34,Female,premium,Germany,True,2025-01-23
147,44,Female,basic,Germany,False,2024-02-01
148,77,Female,basic,Italy,True,2024-08-12
149,48,Female,premium,Germany,True,2025-09-02
150,44,Female,basic,Italy,True,2023-05-02
151,31,Female,business,Netherlands,True,2024-01-09
152,68,Female,basic,Spain,True,2023-10-10
153,76,Female,basic,Netherlands,False,2024-06-14
154,40,Female,basic,France,True,2022-01-05
155,73,Female,basic,Netherlands,True,2023-09-24
156,22,Female,basic,France,True,2024-05-26
157,47,Female,premium,Germany,True,2024-09-12
158,51,Female,basic,Netherlands,False,2025-04-26
159,64,Female,business,Spain,True,2022-01-26
160,36,Female,basic,Netherlands,True,2022-06-11
161,74,Female,premium,Netherlands,True,2024-01-15
162,48,Female,business,Netherlands,True,2025-02-27
163,33,Female,basic,Italy,True,2023-06-17
164,62,Female,basic,Netherlands,True,2024-06-01
165,44,Female,premium,Netherlands,True,2023-02-14
166,78,Female,premium,Spain,True,2025-01-01
167,43,Female,basic,France,True,2025-06-10
168,56,Female,basic,France,True,2024-05-04
169,46,Female,premium,Spain,True,2025-02-03
170,66,Female,premium,Germany,True,2024-06-19
171,68,Female,basic,Netherlands,True,2022-01-09
172,74,Female,business,Germany,True,2022-02-19
173,56,Female,basic,Spain,True,2023-03-18
174,80,Female,basic,Germany,False,2022-02-05
175,61,Female,premium,France,False,2025-05-10
176,62,Female,premium,Italy,True,2022-04-28
177,46,Female,basic,Germany,True,2023-12-03
178,62,Female,basic,Italy,True,2024-01-24
179,63,Female,premium,Germany,False,2025-04-07
180,64,Female,premium,Spain,True,2022-08-18
181,48,Female,business,Italy,True,2023-07-14
182,19,Female,basic,Germany,True,2025-03-19
183,23,Female,basic,Spain,True,2022-07-27
184,26,Female,basic,France,True,2024-12-20
185,32,Female,premium,Netherlands,False,2025-02-14
186,37,Female,basic,Spain,True,2022-08-27
187,65,Female,premium,Spain,True,2024-05-16
188,75,Female,basic,France,True,2022-02-17
189,19,Female,basic,Italy,True,2024-01-27
190,20,Female,business,Germany,True,2025-08-09
191,72,Female,basic,Italy,True,2023-06-01
192,69,Female,business,Spain,True,2022-07-24
193,72,Female,basic,Germany,True,2025-04-18
194,70,Female,basic,Netherlands,True,2022-03-31
195,47,Female,premium,Netherlands,True,2023-05-15
196,25,Female,premium,Germany,True,2025-02-05
197,57,Female,basic,Spain,True,2025-04-28
198,38,Female,basic,France,True,2025-04-18
199,56,Female,premium,Italy,True,2024-11-09
200,60,Female,basic,Italy,True,2022-01-07
201,71,Female,premium,France,True,2022-11-18
202,30,Female,basic,France,True,2022-09-25
203,57,Female,premium,Netherlands,True,2022-10-23
204,58,Female,basic,France,True,2023-07-24
205,65,Female,basic,Germany,True,2022-09-21
206,54,Female,premium,Netherlands,False,2022-03-31
207,72,Female,basic,Spain,True,2024-05-02
208,49,Female,premium,Netherlands,True,2025-07-08
209,31,Female,basic,Netherlands,True,2023-05-03
210,18,Female,basic,Italy,True,2025-09-26
211,44,Female,basic,France,True,2025-09-14
212,41,Female,premium,Germany,True,2023-02-05
213,68,Female,basic,France,True,2022-12-23
214,66,Female,basic,Italy,True,2024-01-25
215,39,Female,premium,France,True,2023-05-14
216,31,Female,basic,Germany,True,2024-04-13
217,62,Female,basic,France,True,2023-03-11
218,25,Female,basic,Italy,True,2022-04-29
219,44,Female,basic,Germany,True,2024-12-06
220,20,Female,basic,France,True,2025-04-06
221,50,Female,premium,Italy,True,2024-10-19
222,68,Female,premium,Italy,True,2022-12-14
223,64,Female,basic,Netherlands,True,2023-06-23
224,38,Female,premium,Germany,True,2025-08-12
225,76,Female,basic,Germany,True,2025-04-12
226,49,Female,basic,France,True,2023-06-14
227,57,Female,business,Netherlands,False,2022-10-30
228,58,Female,basic,Germany,True,2022-07-21
229,62,Female,basic,Italy,True,2022-06-05
230,61,Female,premium,Germany,False,2022-01-14
231,58,Female,premium,Netherlands,True,2024-11-09
232,49,Female,basic,Spain,True,2024-01-26
233,69,Female,basic,Italy,False,2024-06-07
234,41,Female,basic,Germany,True,2025-04-11
235,28,Female,basic,Italy,True,2023-03-21
236,54,Female,premium,France,True,2022-05-02
237,68,Female,basic,Italy,True,2022-07-03
238,38,Female,premium,Germany,True,2023-11-02
239,35,Female,basic,France,True,2022-02-18
240,28,Female,basic,France,False,2022-06-30
241,44,Female,basic,France,True,2022-05-21
242,60,Female,basic,Spain,True,2023-06-14
243,55,Female,basic,Spain,True,2023-08-07
244,18,Female,basic,France,True,2023-04-16
245,71,Female,basic,Germany,True,2025-07-10
246,46,Female,basic,France,True,2022-05-23
247,38,Female,basic,France,True,2023-12-08
248,46,Female,business,Italy,True,2025-03-15
249,26,Female,basic,Italy,True,2022-10-21
250,78,Female,premium,Italy,True,2023-02-26
251,79,Female,basic,Netherlands,True,2023-07-18
252,24,Female,basic,Italy,True,2023-02-21
253,55,Female,basic,Italy,True,2023-10-23
254,48,Female,business,Germany,True,2024-07-01
255,44,Female,premium,Spain,True,2025-02-04
256,77,Female,business,Spain,False,2025-09-03
257,72,Female,premium,Spain,True,2022-02-28
258,59,Female,basic,Netherlands,True,2024-10-12
259,49,Female,business,France,True,2022-09-15
260,22,Female,business,Italy,True,2024-03-03
261,50,Female,basic,Germany,True,2023-06-15
262,32,Female,business,Netherlands,True,2022-06-15
263,74,Female,premium,Spain,True,2024-11-14
264,22,Female,business,Netherlands,True,2022-01-04
265,37,Female,business,Germany,True,2022-01-03
266,55,Female,premium,Netherlands,False,2023-02-22
267,54,Female,premium,Spain,True,2022-12-28
268,34,Female,basic,France,True,2024-06-24
269,67,Female,basic,Spain,True,2023-01-04
270,21,Female,basic,Spain,True,2023-06-23
271,73,Female,basic,Spain,True,2024-05-29
272,38,Female,basic,Netherlands,True,2022-12-12
273,72,Female,premium,Germany,True,2024-01-01
274,51,Female,basic,Spain,True,2024-06-15
275,57,Female,premium,Netherlands,True,2024-12-03
276,22,Female,premium,Germany,True,2023-12-25
277,21,Female,premium,France,True,2023-07-18
278,74,Female,basic,Spain,True,2025-03-22
279,39,Female,basic,Italy,True,2022-07-21
280,80,Female,basic,Netherlands,True,2022-11-17
281,31,Female,basic,France,True,2023-04-09
282,21,Female,premium,France,True,2024-10-31
283,25,Female,basic,France,False,2025-06-04
284,20,Female,premium,Netherlands,True,2023-09-25
285,63,Female,basic,Germany,True,2022-11-29
286,46,Female,basic,Italy,True,2022-01-15
287,43,Female,premium,Germany,True,2024-12-16
288,67,Female,basic,Spain,False,2025-09-15
289,72,Female,premium,Italy,True,2024-12-23
290,47,Female,premium,Germany,True,2022-08-18
291,29,Female,basic,Spain,True,2022-01-11
292,32,Female,basic,Italy,False,2025-06-01
293,69,Female,premium,Netherlands,True,2023-06-26
294,69,Female,premium,Spain,True,2023-06-06
295,75,Female,basic,Germany,True,2024-12-13
296,58,Female,premium,Italy,False,2024-02-06
297,19,Female,basic,Spain,True,2025-03-26
298,18,Female,basic,Spain,False,2023-10-03
299,64,Female,basic,Netherlands,False,2023-07-24
300,72,Female,basic,Spain,True,2023-02-09
301,64,Female,basic,Italy,True,2023-12-08
302,45,Female,basic,France,True,2024-07-17
303,57,Female,basic,Italy,True,2025-01-17
304,52,Female,basic,Italy,True,2023-08-16
305,51,Female,premium,Netherlands,True,2022-07-05
306,21,Female,basic,Netherlands,True,2024-06-13
307,35,Female,premium,Spain,False,2022-03-20
308,29,Female,premium,Netherlands,True,2022-05-25
309,67,Female,basic,Spain,True,2022-01-14
310,38,Female,basic,France,True,2022-01-02
311,27,Female,basic,Germany,True,2023-05-31
312,38,Female,business,Netherlands,True,2024-01-26
313,57,Female,premium,Netherlands,True,2022-03-07
314,42,Female,business,France,True,2022-09-03
315,67,Female,basic,Netherlands,True,2023-07-26
316,34,Female,premium,France,True,2025-06-09
317,68,Female,basic,Spain,True,2023-03-12
318,23,Female,premium,Netherlands,True,2022-12-19
319,31,Female,basic,Netherlands,False,2023-11-10
320,54,Female,premium,Spain,True,2023-01-18
321,57,Female,premium,Netherlands,True,2024-12-19
322,57,Female,premium,Italy,True,2023-04-15
323,35,Female,basic,France,True,2025-01-11
324,47,Female,premium,Germany,True,2022-03-15
325,26,Female,basic,Italy,True,2025-08-27
326,31,Female,basic,Germany,False,2022-01-26
327,63,Female,basic,Italy,True,2025-06-20
328,69,Female,basic,Italy,True,2024-04-14
329,63,Female,premium,Italy,True,2023-09-20
330,34,Female,basic,France,True,2025-09-08
331,79,Female,basic,Germany,True,2025-04-18
332,51,Female,basic,Spain,True,2024-02-13
333,63,Female,premium,Spain,False,2024-10-05
334,76,Female,basic,Netherlands,True,2022-09-23
335,39,Female,premium,France,False,2023-07-04
336,70,Female,basic,France,True,2022-03-18
337,49,Female,premium,France,True,2024-12-08
338,29,Female,basic,Italy,False,2024-10-10
339,72,Female,premium,France,True,2025-07-01
340,74,Female,basic,Spain,True,2025-06-26
341,33,Female,basic,France,True,2024-12-31
342,39,Female,basic,Italy,True,2023-03-23
343,55,Female,business,Germany,True,2023-05-21
344,67,Female,premium,France,False,2025-06-30
345,56,Female,premium,Germany,True,2024-09-22
346,19,Female,basic,Netherlands,False,2024-05-19
347,62,Female,basic,Italy,False,2022-10-26
348,72,Female,basic,France,True,2024-01-04
349,25,Female,basic,Netherlands,False,2024-12-19
350,61,Female,premium,Netherlands,True,2022-06-06
351,18,Female,basic,Germany,True,2022-12-08
352,58,Female,basic,Spain,True,2024-08-31
353,57,Female,basic,Spain,True,2024-06-12
354,58,Female,premium,Spain,True,2025-05-10
355,22,Female,basic,Spain,True,2024-11-24
356,62,Female,business,Italy,True,2024-07-05
357,63,Female,basic,France,True,2025-04-03
358,53,Female,premium,France,False,2024-11-17
359,34,Female,basic,Italy,True,2022-11-10
360,58,Female,basic,Germany,True,2025-07-31
361,47,Female,premium,France,True,2025-08-14
362,69,Female,basic,Netherlands,True,2023-04-20
363,32,Female,premium,France,True,2023-08-20
364,37,Female,premium,Italy,True,2023-09-28
365,53,Female,basic,Germany,False,2023-03-21
366,19,Female,premium,France,True,2025-05-15
367,77,Female,premium,Italy,True,2023-02-21
368,76,Female,premium,Netherlands,True,2023-03-15
369,62,Female,basic,Spain,False,2022-06-14
370,21,Female,basic,Netherlands,True,2023-02-24
371,67,Female,basic,Netherlands,True,2025-07-13
372,41,Female,business,Germany,True,2025-07-26
373,65,Female,business,France,True,2024-09-14
374,72,Female,basic,Spain,True,2023-04-27
375,76,Female,basic,Italy,True,2023-06-01
376,59,Female,premium,Spain,True,2022-03-23
377,19,Female,premium,France,True,2022-04-29
378,63,Female,premium,Germany,True,2025-08-19
379,19,Female,basic,France,True,2025-05-23
380,67,Female,basic,Italy,True,2022-01-28
381,18,Female,basic,Spain,True,2024-02-20
382,30,Female,basic,Netherlands,False,2023-05-13
383,23,Female,premium,France,False,2023-06-21
384,39,Female,basic,Germany,False,2023-06-03
385,34,Female,premium,Germany,True,2022-07-13
386,76,Female,basic,Spain,True,2023-08-15
387,66,Female,premium,Netherlands,False,2023-03-18
388,39,Female,basic,Italy,True,2024-11-25
389,60,Female,basic,Netherlands,True,2022-09-15
390,23,Female,basic,Spain,True,2022-04-23
391,69,Female,basic,Netherlands,True,2025-08-10
392,20,Female,premium,Spain,True,2022-01-14
393,63,Female,basic,Netherlands,True,2024-06-29
394,74,Female,premium,France,True,2022-05-20
395,23,Female,business,Germany,True,2025-01-25
396,34,Female,premium,Spain,True,2023-11-28
397,52,Female,premium,Spain,True,2025-09-27
398,66,Female,basic,Germany,False,2024-05-19
399,68,Female,basic,Italy,False,2022-07-08
400,67,Female,premium,Spain,True,2022-03-23
401,54,Female,premium,France,False,2025-04-18
402,64,Female,basic,Netherlands,True,2024-08-15
403,52,Female,business,France,True,2024-06-16
404,40,Female,basic,Spain,True,2024-08-24
405,25,Female,business,Italy,False,2025-02-02
406,24,Female,basic,Spain,True,2023-01-16
407,67,Female,premium,Italy,True,2023-12-23
408,27,Female,premium,Germany,True,2022-11-25
409,43,Female,premium,Netherlands,True,2025-06-26
410,72,Female,basic,France,True,2022-03-13
411,27,Female,basic,Italy,True,2022-05-13
412,36,Female,basic,France,True,2025-06-17
413,40,Female,business,Germany,True,2025-01-06
414,48,Female,premium,Spain,True,2023-07-24
415,50,Female,basic,Italy,True,2023-04-06
416,19,Female,basic,Netherlands,True,2022-05-05
417,45,Female,premium,Italy,True,2024-10-31
418,75,Female,basic,Spain,False,2024-07-29
419,49,Female,business,Spain,False,2022-01-27
420,50,Female,basic,Netherlands,True,2022-07-26
421,26,Female,basic,Netherlands,True,2025-05-30
422,78,Female,basic,Germany,True,2022-11-08
423,46,Female,premium,France,True,2023-01-17
424,32,Female,basic,Italy,False,2025-08-31
425,35,Female,basic,Germany,True,2025-05-16
426,35,Female,basic,France,True,2022-10-23
427,71,Female,premium,Germany,True,2023-02-06
428,24,Female,basic,Netherlands,True,2022-05-02
429,31,Female,basic,Netherlands,True,2024-01-21
430,46,Female,basic,Spain,False,2022-04-16
431,67,Female,business,Italy,True,2024-03-01
432,79,Female,basic,Italy,True,2024-11-25
433,69,Female,premium,Italy,True,2022-03-13
434,36,Female,premium,Germany,True,2023-07-22
435,78,Female,premium,Germany,True,2025-04-05
436,22,Female,premium,Italy,True,2025-05-29
437,58,Female,basic,Spain,True,2022-03-17
438,67,Female,basic,France,True,2023-12-23
439,62,Female,basic,Germany,True,2024-10-06
440,22,Female,basic,Italy,True,2025-05-19
441,73,Female,business,Netherlands,True,2022-08-16
442,71,Female,business,Germany,True,2023-03-29
443,69,Female,premium,France,True,2024-02-05
444,32,Female,business,Germany,True,2023-05-02
445,43,Female,business,France,True,2023-10-30
446,41,Female,premium,France,True,2024-04-09
447,36,Female,basic,Germany,False,2024-03-01
448,37,Female,basic,France,False,2024-08-28
449,60,Female,business,Germany,True,2023-05-05
450,26,Female,premium,Germany,True,2023-01-11
451,70,Female,premium,Spain,True,2022-08-19
452,71,Female,basic,Netherlands,True,2023-12-03
453,45,Female,basic,France,True,2025-06-02
454,33,Female,basic,Germany,True,2023-04-20
455,28,Female,basic,France,True,2025-01-08
456,51,Female,business,Germany,True,2025-05-18
457,42,Female,basic,Germany,True,2025-08-13
458,57,Female,basic,Germany,True,2025-04-10
459,72,Female,basic,Netherlands,True,2025-01-17
460,74,Female,basic,France,False,2022-08-14
461,38,Female,basic,Netherlands,True,2022-05-23
462,22,Female,business,Netherlands,True,2023-12-09
463,28,Female,premium,Netherlands,True,2022-02-23
464,60,Female,premium,Netherlands,True,2022-07-15
465,26,Female,business,Spain,False,2024-04-24
466,28,Female,business,France,True,2022-10-25
467,54,Female,basic,France,False,2023-06-21
468,58,Female,basic,Germany,True,2023-08-02
469,18,Female,basic,France,True,2023-05-15
470,80,Female,basic,Netherlands,True,2023-09-16
471,43,Female,basic,Italy,True,2024-04-20
472,27,Female,basic,France,True,2022-07-25
473,76,Female,basic,Italy,True,2024-05-29
474,57,Female,premium,Spain,True,2025-03-06
475,36,Female,premium,Germany,True,2023-02-12
476,33,Female,basic,Germany,False,2022-10-06
477,62,Female,premium,Germany,True,2023-11-08
478,73,Female,premium,Spain,True,2024-07-29
479,54,Female,basic,Netherlands,False,2022-09-28
480,67,Female,premium,Italy,True,2023-03-17
481,58,Female,basic,France,True,2025-06-05
482,21,Female,basic,Netherlands,False,2022-05-07
483,31,Female,basic,Germany,False,2025-07-17
484,47,Female,basic,Germany,True,2023-05-02
485,24,Female,basic,Netherlands,True,2023-07-02
486,29,Female,basic,Italy,True,2025-03-24
487,41,Female,business,Netherlands,True,2024-09-12
488,56,Female,premium,Spain,True,2024-07-25
489,60,Female,premium,Germany,True,2024-02-11
490,39,Female,premium,Italy,True,2022-01-19
491,64,Female,premium,France,True,2023-03-01
492,47,Female,basic,Germany,True,2024-07-24
493,77,Female,business,Netherlands,True,2022-02-27
494,56,Female,premium,Italy,True,2023-02-27
495,37,Female,basic,Germany,False,2024-04-23
496,43,Female,basic,France,True,2025-01-30
497,66,Female,premium,France,False,2025-01-04
498,22,Female,basic,Netherlands,False,2022-03-07
499,57,Female,basic,Spain,True,2024-03-25
500,59,Female,basic,Netherlands,True,2025-03-20
